id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
CXR0006,VietJet Air,1137150,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,19,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1327929,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,18,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1284780,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,17,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1285778,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,16,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1168073,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,12,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1179045,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,11,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1177050,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,10,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1172063,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1171065,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1159095,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1163085,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1157100,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1141140,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1140143,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1143135,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,3,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1152113,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,2,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1337648,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1170068,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,20,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1180561,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,19,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1137150,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,18,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1139145,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,17,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1165080,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,16,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1171065,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,15,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0007,VietJet Air,1174058,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,14,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
